experiment_name,config_name,feature_variant,used_feature_count,scale_pos_weight,val_precision_default,val_recall_default,val_f1_default,val_precision_tuned,val_recall_tuned,val_f1_tuned,val_roc_auc,val_average_precision,best_threshold,selection_score
deeper_more_trees__numeric_textfreq,deeper_more_trees,numeric_textfreq,40,3.505738880918221,0.936231884057971,0.9255014326647565,0.930835734870317,0.9640718562874252,0.9226361031518625,0.9428989751098097,0.9909631915362576,0.9799328946590982,0.66,0.9464329568077151
wide_sampling__numeric_textfreq,wide_sampling,numeric_textfreq,40,3.505738880918221,0.9136490250696379,0.9398280802292264,0.9265536723163842,0.9697885196374623,0.9197707736389685,0.9441176470588235,0.9904731310876528,0.9795586988215157,0.71,0.9460846818386329
baseline_like__numeric_textfreq,baseline_like,numeric_textfreq,40,3.505738880918221,0.9043715846994536,0.9484240687679083,0.9258741258741259,0.9697885196374623,0.9197707736389685,0.9441176470588235,0.9903418230248688,0.9782429904505703,0.73,0.9460584202260761
shallow_regularized__numeric_textfreq,shallow_regularized,numeric_textfreq,40,3.505738880918221,0.8826666666666667,0.9484240687679083,0.914364640883978,0.9556213017751479,0.9255014326647565,0.9403202328966521,0.990151895291199,0.9776113611782913,0.68,0.9458409253059928
low_lr_longer__numeric_textfreq,low_lr_longer,numeric_textfreq,40,3.505738880918221,0.90633608815427,0.9426934097421203,0.9241573033707865,0.9668674698795181,0.9197707736389685,0.9427312775330396,0.9906935410501831,0.9793444680632257,0.71,0.945435579068247
recall_focus__numeric_textfreq,recall_focus,numeric_textfreq,40,4.206886657101865,0.9316239316239316,0.9369627507163324,0.9342857142857143,0.9667673716012085,0.9169054441260746,0.9411764705882353,0.9904754758744883,0.9799726068274828,0.7,0.9437549637068376
deeper_more_trees__numeric_base,deeper_more_trees,numeric_base,38,3.505738880918221,0.9259259259259259,0.9312320916905444,0.9285714285714286,0.9416909620991254,0.9255014326647565,0.9335260115606936,0.9902878929276541,0.9778488059990184,0.55,0.9424710141653047
strong_regularization__numeric_textfreq,strong_regularization,numeric_textfreq,40,3.8563127690100436,0.8954423592493298,0.9570200573065902,0.925207756232687,0.9666666666666667,0.9140401146131805,0.9396170839469808,0.9901776879463887,0.9784828460564439,0.74,0.9420561139467223
wide_sampling__numeric_base,wide_sampling,numeric_base,38,3.505738880918221,0.9088397790055248,0.9426934097421203,0.9254571026722925,0.9637462235649547,0.9140401146131805,0.9382352941176471,0.989844728215758,0.9775593376770038,0.7,0.9412986270859293
deeper_more_trees__numeric_ratio_textfreq,deeper_more_trees,numeric_ratio_textfreq,50,3.505738880918221,0.9277456647398844,0.9197707736389685,0.9237410071942446,0.9695121951219512,0.9111747851002865,0.9394387001477105,0.9894132874380391,0.9773545622621642,0.76,0.940954443091549
